listing,year,reference,title,document_type,download_id,download_url
Chronological list by year,2025,No. 3 of 2025,Trinidad and Tobago Revenue Authority (Repeal) Act,amendment,121977,https://laws.gov.tt/ttdll-web/revision/download/121977?type=amendment
Chronological list by year,2025,No. 2 of 2025,Children’s Life Fund (Amendment) Act,amendment,121975,https://laws.gov.tt/ttdll-web/revision/download/121975?type=amendment
Chronological list by year,2025,No. 1 of 2025,National Emblems of Trinidad and Tobago (Regulation) (Amendment) Act,amendment,120948,https://laws.gov.tt/ttdll-web/revision/download/120948?type=amendment
Chronological list by year,2024,No. 18 of 2024,Finance Act,amendment,120710,https://laws.gov.tt/ttdll-web/revision/download/120710?type=amendment
Chronological list by year,2024,No. 17 of 2024,"Miscellaneous Provisions [Proceeds of Crime, Anti-Terrorism, Financial Intelligence Unit of Trinidad and Tobago, Securities, Insurance ......(FATF Compliance)] Act",amendment,120726,https://laws.gov.tt/ttdll-web/revision/download/120726?type=amendment
Chronological list by year,2024,No. 16 of 2024,Appropriation (Financial Year 2025) Act,amendment,120341,https://laws.gov.tt/ttdll-web/revision/download/120341?type=amendment
Chronological list by year,2024,No. 15 of 2024,Miscellaneous Provisions (Global Forum) Act,amendment,119866,https://laws.gov.tt/ttdll-web/revision/download/119866?type=amendment
Chronological list by year,2024,No. 14 of 2024,Miscellaneous Provisions (Judicial and Legal Service) Act,amendment,119860,https://laws.gov.tt/ttdll-web/revision/download/119860?type=amendment
Chronological list by year,2024,No. 13 of 2024,National Musical Instrument Act,amendment,119392,https://laws.gov.tt/ttdll-web/revision/download/119392?type=amendment
Chronological list by year,2024,No. 12 of 2024,Administration of Justice (Indictable Proceedings) (Amendment) (No. 2) Act,amendment,119390,https://laws.gov.tt/ttdll-web/revision/download/119390?type=amendment
Chronological list by year,2024,No. 11 of 2024,Bail (Amendment) Act,amendment,119388,https://laws.gov.tt/ttdll-web/revision/download/119388?type=amendment
Chronological list by year,2024,No. 10 of 2024,Miscellaneous Provisions (Testing and Identification) Act,amendment,119386,https://laws.gov.tt/ttdll-web/revision/download/119386?type=amendment
Chronological list by year,2024,No. 9 of 2024,Whistleblower Protection Act,amendment,119384,https://laws.gov.tt/ttdll-web/revision/download/119384?type=amendment
Chronological list by year,2024,No. 8 of 2024,Finance (Supplementary Appropriation) (Financial Year 2024) Act,amendment,119317,https://laws.gov.tt/ttdll-web/revision/download/119317?type=amendment
Chronological list by year,2024,No. 7 of 2024,Miscellaneous Provisions (Administration of Justice) Act,amendment,119265,https://laws.gov.tt/ttdll-web/revision/download/119265?type=amendment
Chronological list by year,2024,No. 6 of 2024,Administration of Justice (Indictable Proceedings) (Amendment) Act,amendment,119342,https://laws.gov.tt/ttdll-web/revision/download/119342?type=amendment
Chronological list by year,2024,No. 5 of 2024,ICC Men’s T20 Cricket World Cup 2024 Act,amendment,119218,https://laws.gov.tt/ttdll-web/revision/download/119218?type=amendment
Chronological list by year,2024,No. 4 of 2024,"Miscellaneous Provisions (Registrar General, Companies, Registration of Business Names, and Non-Profit Organisations) Act",amendment,119170,https://laws.gov.tt/ttdll-web/revision/download/119170?type=amendment
Chronological list by year,2024,No. 3 of 2024,Property Tax (Amendment) Act,amendment,119063,https://laws.gov.tt/ttdll-web/revision/download/119063?type=amendment
Chronological list by year,2024,No. 2 of 2024,Base Erosion and Profit-Shifting Inclusive Framework (Country-by-Country) Reporting Act,amendment,119035,https://laws.gov.tt/ttdll-web/revision/download/119035?type=amendment
Chronological list by year,2024,No. 1 of 2024,"Miscellaneous Provisions (Trustees, ....... Mutual Administrative Assistance in Tax Matters) Act",amendment,118816,https://laws.gov.tt/ttdll-web/revision/download/118816?type=amendment
Chronological list by year,2023,No. 15 of 2023,Finance Act,amendment,118614,https://laws.gov.tt/ttdll-web/revision/download/118614?type=amendment
Chronological list by year,2023,No. 14 of 2023,Appropriation (Financial Year 2024) Act,amendment,118514,https://laws.gov.tt/ttdll-web/revision/download/118514?type=amendment
Chronological list by year,2023,No. 13 of 2023,Public Procurement and Disposal of Public Property (Amendment and Validation) Act,amendment,117534,https://laws.gov.tt/ttdll-web/revision/download/117534?type=amendment
Chronological list by year,2023,No. 12 of 2023,Administration of Justice (Indictable Proceedings) (Amendment) Act,amendment,117493,https://laws.gov.tt/ttdll-web/revision/download/117493?type=amendment
Chronological list by year,2023,No. 11 of 2023,Arbitration Act,amendment,117491,https://laws.gov.tt/ttdll-web/revision/download/117491?type=amendment
Chronological list by year,2023,No. 10 of 2023,Trinidad and Tobago National Council on Alcoholism (Incorporation) (Amendment) Act,amendment,117489,https://laws.gov.tt/ttdll-web/revision/download/117489?type=amendment
Chronological list by year,2023,No. 9 of 2023,Pentecostal Assemblies of the West Indies Incorporation (Amendment) Act,amendment,117487,https://laws.gov.tt/ttdll-web/revision/download/117487?type=amendment
Chronological list by year,2023,No. 8 of 2023,Trinidad and Tobago Netball Association (Incorporation) (Amendment) Act,amendment,117485,https://laws.gov.tt/ttdll-web/revision/download/117485?type=amendment
Chronological list by year,2023,No. 7 of 2023,Anti-Doping in Sport (Amendment) Act,amendment,117483,https://laws.gov.tt/ttdll-web/revision/download/117483?type=amendment
Chronological list by year,2023,No. 6 of 2023,Miscellaneous Provisions (Establishment of the Borough of Diego Martin and the Borough of Siparia) Act,amendment,117320,https://laws.gov.tt/ttdll-web/revision/download/117320?type=amendment
Chronological list by year,2023,No. 5 of 2023,Valuation of Land (Amendment) Act,amendment,117318,https://laws.gov.tt/ttdll-web/revision/download/117318?type=amendment
Chronological list by year,2023,No. 4 of 2023,Municipal Corporations (Extension of Terms of Office and Validation) Act,amendment,117316,https://laws.gov.tt/ttdll-web/revision/download/117316?type=amendment
Chronological list by year,2023,No. 3 of 2023,Finance (Supplementation and Variation of Appropriation) (Financial Year 2023) Act,amendment,116995,https://laws.gov.tt/ttdll-web/revision/download/116995?type=amendment
Chronological list by year,2023,No. 2 of 2023,Firearms (Amendment) Act,amendment,116525,https://laws.gov.tt/ttdll-web/revision/download/116525?type=amendment
Chronological list by year,2023,No. 1 of 2023,Finance (Supplementary Appropriation) (Financial Year 2022) Act,amendment,116331,https://laws.gov.tt/ttdll-web/revision/download/116331?type=amendment
Chronological list by year,2022,No. 24 of 2022,Scrap Metal Act,amendment,116139,https://laws.gov.tt/ttdll-web/revision/download/116139?type=amendment
Chronological list by year,2022,No. 23 of 2022,Finance (No. 2) Act,amendment,116137,https://laws.gov.tt/ttdll-web/revision/download/116137?type=amendment
Chronological list by year,2022,No. 22 of 2022,Civil Aviation (Amendment) Act,amendment,116079,https://laws.gov.tt/ttdll-web/revision/download/116079?type=amendment
Chronological list by year,2022,No. 21 of 2022,Finance Act,amendment,116017,https://laws.gov.tt/ttdll-web/revision/download/116017?type=amendment
Chronological list by year,2022,No. 20 of 2022,Appropriation (Financial Year 2023) Act,amendment,115997,https://laws.gov.tt/ttdll-web/revision/download/115997?type=amendment
Chronological list by year,2022,No. 19 of 2022,Tobago Council for Handicapped Children (Incorporation) (Amendment) Act,amendment,112939,https://laws.gov.tt/ttdll-web/revision/download/112939?type=amendment
Chronological list by year,2022,No. 18 of 2022,Sri Sathya Sai Baba Organisation of Trinidad and Tobago (Incorporation) (Amendment) Act,amendment,112937,https://laws.gov.tt/ttdll-web/revision/download/112937?type=amendment
Chronological list by year,2022,No. 17 of 2022,Trinidad and Tobago Association for Retarded Children (Incorporation) (Amendment) Act,amendment,112935,https://laws.gov.tt/ttdll-web/revision/download/112935?type=amendment
Chronological list by year,2022,No. 16 of 2022,Soroptimist Club of Port-of-Spain (Incorporation) (Amendment) Act,amendment,112931,https://laws.gov.tt/ttdll-web/revision/download/112931?type=amendment
Chronological list by year,2022,No. 15 of 2022,National Insurance (Amendment) Act,amendment,112923,https://laws.gov.tt/ttdll-web/revision/download/112923?type=amendment
Chronological list by year,2022,No. 14 of 2022,Sexual Offences (Amendment) Act,amendment,112921,https://laws.gov.tt/ttdll-web/revision/download/112921?type=amendment
Chronological list by year,2022,No. 13 of 2022,Insurance (Amendment) Act,amendment,112895,https://laws.gov.tt/ttdll-web/revision/download/112895?type=amendment
Chronological list by year,2022,No. 12 of 2022,Bills of Exchange (Amendment) Act,amendment,112919,https://laws.gov.tt/ttdll-web/revision/download/112919?type=amendment
Chronological list by year,2022,No. 11 of 2022,Miscellaneous Provisions (Local Government Reform) Act,amendment,112917,https://laws.gov.tt/ttdll-web/revision/download/112917?type=amendment
Chronological list by year,2022,No. 10 of 2022,Cannabis Control Act,amendment,112877,https://laws.gov.tt/ttdll-web/revision/download/112877?type=amendment
Chronological list by year,2022,No. 9 of 2022,Immigration (Caribbean Community Skilled Nationals) (Amendment) Act,amendment,112875,https://laws.gov.tt/ttdll-web/revision/download/112875?type=amendment
Chronological list by year,2022,No. 8 of 2022,Finance (Supplementary Appropriation) (Financial Year 2022) Act,amendment,112841,https://laws.gov.tt/ttdll-web/revision/download/112841?type=amendment
Chronological list by year,2022,No. 7 of 2022,Companies (Amendment) Act,amendment,112805,https://laws.gov.tt/ttdll-web/revision/download/112805?type=amendment
Chronological list by year,2022,No. 6 of 2022,Southern Academy for the Performing Arts Act,amendment,112664,https://laws.gov.tt/ttdll-web/revision/download/112664?type=amendment
Chronological list by year,2022,No. 5 of 2022,National Academy for the Performing Arts Act,amendment,112662,https://laws.gov.tt/ttdll-web/revision/download/112662?type=amendment
Chronological list by year,2022,No. 4 of 2022,Foreign Labour Contracts (Repeal) Act,amendment,112660,https://laws.gov.tt/ttdll-web/revision/download/112660?type=amendment
Chronological list by year,2022,No. 3 of 2022,Summary Courts (Amendment) Act,amendment,112645,https://laws.gov.tt/ttdll-web/revision/download/112645?type=amendment
Chronological list by year,2022,No. 2 of 2022,Finance (Variation of Appropriation) (Financial Year 2021) Act,amendment,112521,https://laws.gov.tt/ttdll-web/revision/download/112521?type=amendment
Chronological list by year,2022,No. 1 of 2022,Trinidad and Tobago Special Economic Zones Act,amendment,112530,https://laws.gov.tt/ttdll-web/revision/download/112530?type=amendment
Chronological list by year,2021,No. 17 of 2021,Trinidad and Tobago Revenue Authority Act,amendment,112473,https://laws.gov.tt/ttdll-web/revision/download/112473?type=amendment
Chronological list by year,2021,No. 16 of 2021,Finance (No. 2) Act,amendment,112467,https://laws.gov.tt/ttdll-web/revision/download/112467?type=amendment
Chronological list by year,2021,No. 15 of 2021,Miscellaneous Provisions (2019 Novel Coronavirus (2019-nCoV) Vaccination Personnel) Act,amendment,112414,https://laws.gov.tt/ttdll-web/revision/download/112414?type=amendment
Chronological list by year,2021,No. 14 of 2021,Appropriation (Financial Year 2022) Act,amendment,112369,https://laws.gov.tt/ttdll-web/revision/download/112369?type=amendment
Chronological list by year,2021,No. 13 of 2021,Sexual Offences (Amendment) Act,amendment,111990,https://laws.gov.tt/ttdll-web/revision/download/111990?type=amendment
Chronological list by year,2021,No. 12 of 2021,Quarantine (Amendment) Act,amendment,111988,https://laws.gov.tt/ttdll-web/revision/download/111988?type=amendment
Chronological list by year,2021,No. 11 of 2021,Miscellaneous Provisions (Special Reserve Police and Police Complaints Authority) Act,amendment,111986,https://laws.gov.tt/ttdll-web/revision/download/111986?type=amendment
Chronological list by year,2021,No. 10 of 2021,Finance Act,amendment,111976,https://laws.gov.tt/ttdll-web/revision/download/111976?type=amendment
Chronological list by year,2021,No. 9 of 2021,Mutual Assistance in Criminal Matters (Amendment) Act,amendment,111984,https://laws.gov.tt/ttdll-web/revision/download/111984?type=amendment
Chronological list by year,2021,No. 8 of 2021,Gambling (Gaming and Betting) Control Act,amendment,111974,https://laws.gov.tt/ttdll-web/revision/download/111974?type=amendment
Chronological list by year,2021,No. 7 of 2021,Firearms (Amendment) Act,amendment,111972,https://laws.gov.tt/ttdll-web/revision/download/111972?type=amendment
Chronological list by year,2021,No. 6 of 2021,Finance (Supplementation and Variation of Appropriation) (Financial Year 2021) Act,amendment,111940,https://laws.gov.tt/ttdll-web/revision/download/111940?type=amendment
Chronological list by year,2021,No. 5 of 2021,Electronic Payments into and out of Court (Amendment) Act,amendment,111733,https://laws.gov.tt/ttdll-web/revision/download/111733?type=amendment
Chronological list by year,2021,No. 4 of 2021,Anti-Gang Act,amendment,111731,https://laws.gov.tt/ttdll-web/revision/download/111731?type=amendment
Chronological list by year,2021,No. 3 of 2021,CARIFORUM States (the Caribbean Community and the Dominican Republic) and the United Kingdom of Great Britain and Northern Ireland Economic Partnership Agreement Act,amendment,111653,https://laws.gov.tt/ttdll-web/revision/download/111653?type=amendment
Chronological list by year,2021,No. 2 of 2021,Tobago House of Assembly (Amendment) Act,amendment,111504,https://laws.gov.tt/ttdll-web/revision/download/111504?type=amendment
Chronological list by year,2021,No. 1 of 2021,Evidence (Amendment) Act,amendment,111475,https://laws.gov.tt/ttdll-web/revision/download/111475?type=amendment
Chronological list by year,2020,No. 30 of 2020,Finance Act,amendment,111017,https://laws.gov.tt/ttdll-web/revision/download/111017?type=amendment
Chronological list by year,2020,No. 29 of 2020,Miscellaneous Provisions (Administration of Justice) Act,amendment,111015,https://laws.gov.tt/ttdll-web/revision/download/111015?type=amendment
Chronological list by year,2020,No. 28 of 2020,Miscellaneous Amendments (Powers of Statutory Authorities and Matters related to certain Boards) Act,amendment,111013,https://laws.gov.tt/ttdll-web/revision/download/111013?type=amendment
Chronological list by year,2020,No. 27 of 2020,Public Procurement and Disposal of Public Property (Amendment) Act,amendment,111019,https://laws.gov.tt/ttdll-web/revision/download/111019?type=amendment
Chronological list by year,2020,No. 26 of 2020,Miscellaneous Provisions [2019 Novel Coronavirus (2019-nCoV)] (No. 2) Act,amendment,110997,https://laws.gov.tt/ttdll-web/revision/download/110997?type=amendment
Chronological list by year,2020,No. 25 of 2020,Miscellaneous Provisions (FATF Compliance) Act,amendment,110995,https://laws.gov.tt/ttdll-web/revision/download/110995?type=amendment
Chronological list by year,2020,No. 24 of 2020,Appropriation (Financial Year 2021) Act,amendment,110878,https://laws.gov.tt/ttdll-web/revision/download/110878?type=amendment
Chronological list by year,2020,No. 23 of 2020,Public Health (Amendment) Act,amendment,110607,https://laws.gov.tt/ttdll-web/revision/download/110607?type=amendment
Chronological list by year,2020,No. 22 of 2020,Urban and Regional Planning Profession Act,amendment,110495,https://laws.gov.tt/ttdll-web/revision/download/110495?type=amendment
Chronological list by year,2020,No. 21 of 2020,Animals (Diseases and Importation) (Amendment) Act,amendment,110493,https://laws.gov.tt/ttdll-web/revision/download/110493?type=amendment
Chronological list by year,2020,No. 20 of 2020,Miscellaneous Amendments (No. 2) Act,amendment,110491,https://laws.gov.tt/ttdll-web/revision/download/110491?type=amendment
Chronological list by year,2020,No. 19 of 2020,Kabir Association of Trinidad (Incorporation) (Amendment) Act,amendment,110489,https://laws.gov.tt/ttdll-web/revision/download/110489?type=amendment
Chronological list by year,2020,No. 18 of 2020,Domestic Violence (Amendment) Act,amendment,110487,https://laws.gov.tt/ttdll-web/revision/download/110487?type=amendment
Chronological list by year,2020,No. 17 of 2020,"Miscellaneous Provisions (Registrar General, Registration of Deeds, Conveyancing and Law of Property, Real Property, Stamp Duty and Registration of Title to Land) Act",amendment,110485,https://laws.gov.tt/ttdll-web/revision/download/110485?type=amendment
Chronological list by year,2020,No. 16 of 2020,Finance (Supplementary Appropriation) (Financial Year 2020) Act,amendment,110483,https://laws.gov.tt/ttdll-web/revision/download/110483?type=amendment
Chronological list by year,2020,No. 15 of 2020,Motor Vehicles and Road Traffic (Amendment) Act,amendment,110481,https://laws.gov.tt/ttdll-web/revision/download/110481?type=amendment
Chronological list by year,2020,No. 14 of 2020,Copyright (Amendment) Act,amendment,110479,https://laws.gov.tt/ttdll-web/revision/download/110479?type=amendment
Chronological list by year,2020,No. 13 of 2020,Interception of Communications (Amendment) Act,amendment,110477,https://laws.gov.tt/ttdll-web/revision/download/110477?type=amendment
Chronological list by year,2020,No. 12 of 2020,Real Estate Agents Act,amendment,110164,https://laws.gov.tt/ttdll-web/revision/download/110164?type=amendment
Chronological list by year,2020,No. 11 of 2020,Administration of Justice (Electronic Monitoring) (Amendment) Act,amendment,110089,https://laws.gov.tt/ttdll-web/revision/download/110089?type=amendment
Chronological list by year,2020,No. 10 of 2020,Miscellaneous Amendments Act,amendment,110087,https://laws.gov.tt/ttdll-web/revision/download/110087?type=amendment
Chronological list by year,2020,No. 9 of 2020,"Miscellaneous Provisions (Heritage and Stabilisation Fund, Government Savings Bonds and Value Added Tax) Act",amendment,110024,https://laws.gov.tt/ttdll-web/revision/download/110024?type=amendment
Chronological list by year,2020,No. 8 of 2020,"Miscellaneous Provisions (Age of Retirement of Judges, and Chief Judicial Officers) Act",amendment,110022,https://laws.gov.tt/ttdll-web/revision/download/110022?type=amendment
Chronological list by year,2020,No. 7 of 2020,Mutual Administrative Assistance in Tax Matters Act,amendment,110020,https://laws.gov.tt/ttdll-web/revision/download/110020?type=amendment
Chronological list by year,2020,No. 6 of 2020,Income Tax (Amendment) Act,amendment,110018,https://laws.gov.tt/ttdll-web/revision/download/110018?type=amendment
Chronological list by year,2020,No. 5 of 2020,Tax Information Exchange Agreements Act,amendment,110016,https://laws.gov.tt/ttdll-web/revision/download/110016?type=amendment
Chronological list by year,2020,No. 4 of 2020,Miscellaneous Provisions [2019 Novel Coronavirus (2019-nCoV)] Act,amendment,110005,https://laws.gov.tt/ttdll-web/revision/download/110005?type=amendment
Chronological list by year,2020,No. 3 of 2020,Insurance (Amendment) Act,amendment,109978,https://laws.gov.tt/ttdll-web/revision/download/109978?type=amendment
Chronological list by year,2020,No. 2 of 2020,Finance (Variation of Appropriation) (Financial Year 2019) Act,amendment,109976,https://laws.gov.tt/ttdll-web/revision/download/109976?type=amendment
Chronological list by year,2020,No. 1 of 2020,Administration of Justice (Indictable Proceedings) (Amendment) Act,amendment,108763,https://laws.gov.tt/ttdll-web/revision/download/108763?type=amendment
Chronological list by year,2019,No. 25 of 2019,Miscellaneous Provisions (Law Enforcement Officers) Act,amendment,110590,https://laws.gov.tt/ttdll-web/revision/download/110590?type=amendment
Chronological list by year,2019,No. 24 of 2019,Dangerous Drugs (Amendment) Act,amendment,108733,https://laws.gov.tt/ttdll-web/revision/download/108733?type=amendment
Chronological list by year,2019,No. 23 of 2019,Finance Act,amendment,108731,https://laws.gov.tt/ttdll-web/revision/download/108731?type=amendment
Chronological list by year,2019,No. 22 of 2019,Miscellaneous Provisions (Proceeds of Crime and Central Bank) Act,amendment,108729,https://laws.gov.tt/ttdll-web/revision/download/108729?type=amendment
Chronological list by year,2019,No. 21 of 2019,Appropriation (Financial Year 2020) Act,amendment,108652,https://laws.gov.tt/ttdll-web/revision/download/108652?type=amendment
Chronological list by year,2019,No. 20 of 2019,Government Savings Bonds (Amendment) Act,amendment,110610,https://laws.gov.tt/ttdll-web/revision/download/110610?type=amendment
Chronological list by year,2019,No. 19 of 2019,Sexual Offences (Amendment) Act,amendment,108650,https://laws.gov.tt/ttdll-web/revision/download/108650?type=amendment
Chronological list by year,2019,No. 18 of 2019,Firearms (Amendment) Act,amendment,108648,https://laws.gov.tt/ttdll-web/revision/download/108648?type=amendment
Chronological list by year,2019,No. 17 of 2019,Bail (Amendment) Act,amendment,108206,https://laws.gov.tt/ttdll-web/revision/download/108206?type=amendment
Chronological list by year,2019,No. 16 of 2019,Miscellaneous Provisions (Pensions) Act,amendment,108164,https://laws.gov.tt/ttdll-web/revision/download/108164?type=amendment
Chronological list by year,2019,No. 15 of 2019,Miscellaneous Provisions (Petroleum and Petroleum Production Levy and Subsidy) Act,amendment,108162,https://laws.gov.tt/ttdll-web/revision/download/108162?type=amendment
Chronological list by year,2019,No. 14 of 2019,Licensing Committee (Validation) Act,amendment,108160,https://laws.gov.tt/ttdll-web/revision/download/108160?type=amendment
Chronological list by year,2019,No. 13 of 2019,"Miscellaneous Provisions (Tax Amnesty, Pensions, National Insurance, Central Bank, Companies and Non-Profit Organisations) Act",amendment,110539,https://laws.gov.tt/ttdll-web/revision/download/110539?type=amendment
Chronological list by year,2019,No. 12 of 2019,"Miscellaneous Provisions (Financial Institutions, Securities and Insurance) Act",amendment,108158,https://laws.gov.tt/ttdll-web/revision/download/108158?type=amendment
Chronological list by year,2019,No. 11 of 2019,Administration of Justice (Indictable Proceedings) (Amendment) (No. 2) Act,amendment,108156,https://laws.gov.tt/ttdll-web/revision/download/108156?type=amendment
Chronological list by year,2019,No. 10 of 2019,National Emblems of Trinidad and Tobago (Regulation) (Amendment) Act,amendment,108154,https://laws.gov.tt/ttdll-web/revision/download/108154?type=amendment
Chronological list by year,2019,No. 9 of 2019,Finance (Supplementary Appropriation) (Financial Year 2019) Act,amendment,108113,https://laws.gov.tt/ttdll-web/revision/download/108113?type=amendment
Chronological list by year,2019,No. 8 of 2019,Civil Asset Recovery and Management and Unexplained Wealth Act,amendment,108056,https://laws.gov.tt/ttdll-web/revision/download/108056?type=amendment
Chronological list by year,2019,No. 7 of 2019,Non-Profit Organisations Act,amendment,108054,https://laws.gov.tt/ttdll-web/revision/download/108054?type=amendment
Chronological list by year,2019,No. 6 of 2019,Companies (Amendment) Act,amendment,108040,https://laws.gov.tt/ttdll-web/revision/download/108040?type=amendment
Chronological list by year,2019,No. 5 of 2019,Trespass (Amendment) Act,amendment,108004,https://laws.gov.tt/ttdll-web/revision/download/108004?type=amendment
Chronological list by year,2019,No. 4 of 2019,Magistrates Protection (Amendment) Act,amendment,107992,https://laws.gov.tt/ttdll-web/revision/download/107992?type=amendment
Chronological list by year,2019,No. 3 of 2019,Administration of Justice (Indictable Proceedings) (Amendment) Act,amendment,107059,https://laws.gov.tt/ttdll-web/revision/download/107059?type=amendment
Chronological list by year,2019,No. 2 of 2019,Finance (Variation of Appropriation) (Financial Year 2018) Act,amendment,107038,https://laws.gov.tt/ttdll-web/revision/download/107038?type=amendment
Chronological list by year,2019,No. 1 of 2019,Planning and Facilitation of Development (Amendment) Act,amendment,107036,https://laws.gov.tt/ttdll-web/revision/download/107036?type=amendment
Chronological list by year,2018,No. 20 of 2018,"Miscellaneous Provisions (Proceeds of Crime, Anti-Terrorism and Financial Intelligence Unit of Trinidad and Tobago) Act",amendment,106846,https://laws.gov.tt/ttdll-web/revision/download/106846?type=amendment
Chronological list by year,2018,No. 19 of 2018,Finance Act,amendment,106825,https://laws.gov.tt/ttdll-web/revision/download/106825?type=amendment
Chronological list by year,2018,No. 18 of 2018,Income Tax (Amendment) Act,amendment,105730,https://laws.gov.tt/ttdll-web/revision/download/105730?type=amendment
Chronological list by year,2018,No. 17 of 2018,"Miscellaneous Provisions (Heritage Petroleum, Paria Fuel Trading and Guaracara Refining Vesting) Act",amendment,105728,https://laws.gov.tt/ttdll-web/revision/download/105728?type=amendment
Chronological list by year,2018,No. 16 of 2018,Appropriation (Financial Year 2019) Act,amendment,105726,https://laws.gov.tt/ttdll-web/revision/download/105726?type=amendment
Chronological list by year,2018,No. 15 of 2018,Miscellaneous Provisions (Supreme Court of Judicature and Children) Act,amendment,105732,https://laws.gov.tt/ttdll-web/revision/download/105732?type=amendment
Chronological list by year,2018,No. 14 of 2018,Electronic Payments into and out of Court Act,amendment,105724,https://laws.gov.tt/ttdll-web/revision/download/105724?type=amendment
Chronological list by year,2018,No. 13 of 2018,Anti-Terrorism (Amendment) Act,amendment,105722,https://laws.gov.tt/ttdll-web/revision/download/105722?type=amendment
Chronological list by year,2018,No. 12 of 2018,Criminal Division and District Criminal and Traffic Courts Act,amendment,103301,https://laws.gov.tt/ttdll-web/revision/download/103301?type=amendment
Chronological list by year,2018,No. 11 of 2018,Corporation Tax (Amendment) Act,amendment,106823,https://laws.gov.tt/ttdll-web/revision/download/106823?type=amendment
Chronological list by year,2018,No. 10 of 2018,Land Adjudication (Amendment) Act,amendment,103617,https://laws.gov.tt/ttdll-web/revision/download/103617?type=amendment
Chronological list by year,2018,No. 9 of 2018,Land Tribunal (Amendment) Act,amendment,103620,https://laws.gov.tt/ttdll-web/revision/download/103620?type=amendment
Chronological list by year,2018,No. 8 of 2018,State Suits Limitation Act,amendment,103298,https://laws.gov.tt/ttdll-web/revision/download/103298?type=amendment
Chronological list by year,2018,No. 7 of 2018,Registration of Titles to Land (Amendment) Act,amendment,103296,https://laws.gov.tt/ttdll-web/revision/download/103296?type=amendment
Chronological list by year,2018,No. 6 of 2018,Property Tax (Amendment) Act,amendment,106850,https://laws.gov.tt/ttdll-web/revision/download/106850?type=amendment
Chronological list by year,2018,No. 5 of 2018,Valuation of Land Act,amendment,105734,https://laws.gov.tt/ttdll-web/revision/download/105734?type=amendment
Chronological list by year,2018,No. 4 of 2018,Insurance Act,amendment,103294,https://laws.gov.tt/ttdll-web/revision/download/103294?type=amendment
Chronological list by year,2018,No. 3 of 2018,Finance (Supplementation and Variation of Appropriation) (Financial Year 2018) Act,amendment,103292,https://laws.gov.tt/ttdll-web/revision/download/103292?type=amendment
Chronological list by year,2018,No. 2 of 2018,"Miscellaneous Provisions (Mutual Assistance in Criminal Matters, Proceeds of Crime, Financial Intelligence Unit of Trinidad and Tobago, Customs and Exchange Control) Act",amendment,103290,https://laws.gov.tt/ttdll-web/revision/download/103290?type=amendment
Chronological list by year,2018,No. 1 of 2018,Anti-Gang Act,amendment,103288,https://laws.gov.tt/ttdll-web/revision/download/103288?type=amendment
