law_id,description,chapter_number,detail_url
418,Arbitration,5:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=418
424,Arbitration (Foreign Arbitral Awards),5:30,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=424
890,Archipelagic Waters and Exclusive Economic Zone,51:06,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=890
1056,Architecture Profession,90:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1056
1096,Asphalt Industry Regulation,87:50,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1096
982,Assisted Secondary School Teachers' Pensions,39:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=982
624,Association of Caribbean States (Headquarters),81:09,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=624
1024,Attachment of Earnings (Maintenance),45:52,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1024
1128,Auctioneers,84:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1128
932,Auxiliary Fire Service,35:54,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=932
430,Bail,4:60,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=430
432,Bailiffs,4:61,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=432
484,Bankruptcy and Insolvency,9:70,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=484
924,Basel Convention (Regional Centre for Training and Technology Transfer),35:49,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=924
740,Beekeeping and Bee Products,67:53,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=740
170,Betting Levy Board,21:53,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=170
662,Bills of Exchange,82:31,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=662
846,Bills of Lading,50:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=846
664,Bills of Sale,82:32,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=664
1042,Births and Deaths Registration,44:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1042
1002,Botanic Gardens,41:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1002
172,Boxing Control,21:52,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=172
994,Boy Scouts Association,40:70,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=994
1094,Brewery,87:52,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1094
482,Bruce Stephens Trust,9:32,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=482
940,Building Societies,33:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=940
206,Burial Grounds,30:50,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=206
850,BWIA International Airways Limited (Vesting),49:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=850
1006,CAB International (Regional Centre),39:55,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1006
264,Cadet Force,14:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=264
712,Cane-Farmers Rehabilitation Board,64:06,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=712
884,Carenage Pier,51:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=884
676,Caribbean Agricultural Research and Development Institute,63:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=676
966,Caribbean Aviation Training Institute,39:52,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=966
646,Caribbean Community,81:11,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=646
644,Caribbean Community (Caricom) Costa Rica Free Trade,81:10,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=644
648,Caribbean Community (Caricom) Cuba Trade and Economic Co-operation,81:12,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=648
622,Caribbean Community (Caricom) Dominican Republic Free Trade,81:06,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=622
642,Caribbean Community (Caricom) Regional Organisation for Standards and Quality,82:05,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=642
760,Caribbean Community Development Loans and Guarantee,70:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=760
498,Caribbean Court of Justice,4:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=498
396,Caribbean Court of Justice (Headquarters),6:05,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=396
770,Caribbean Court of Justice Trust Fund,70:08,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=770
590,Caribbean Development Bank,79:05,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=590
958,Caribbean Examinations Council,39:07,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=958
312,Caribbean Examinations Council (Privileges and Immunities),17:07,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=312
964,Caribbean Fisheries Training and Development Institute,39:53,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=964
678,Caribbean Food Corporation,63:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=678
1102,Caribbean Industrial Research Institute,85:52,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1102
762,Caribbean Investment Corporation,70:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=762
764,Caribbean Investment Fund,70:05,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=764
872,Caribbean Meteorological Organisation,55:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=872
634,Caricom Enterprises,81:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=634
708,Caroni (1975) Limited and Orange Grove National Company (Divestment),64:08,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=708
714,Caroni (1975) Limited Vesting,64:07,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=714
848,Carriage of Goods by Sea,50:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=848
564,Casual Revenue,74:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=564
592,Central Bank,79:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=592
542,Central Tenders Board,71:91,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=542
950,Chaguaramas Agreement Special Fund,35:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=950
948,Chaguaramas Development Authority,35:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=948
826,Children,46:01 (The 1925 Ordinance has been repealed and replaced by Act No 12 of 2012),https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=826
436,Children and Young Persons (Harmful Publications),11:18,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=436
808,Children's Authority,46:10,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=808
90718,"Children’s Community Residences, Foster Care and Nurseries",46:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=90718
232,Children's Life Fund,29:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=232
156,Cinematograph,20:10,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=156
968,Cipriani College of Labour and Co-operative Studies,39:51,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=968
538,Citizenship of the Republic of Trinidad and Tobago,1:50,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=538
134,City of San Fernando,25:06,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=134
852,Civil Aviation,49:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=852
274,Civil Aviation (Tokyo Convention),11:21,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=274
168,Civil Service,23:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=168
722,Claying of Cocoa,64:22,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=722
720,Cocoa (Import and Export),64:21,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=720
1034,Cohabitational Relationships,45:55,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1034
442,Coinage Offences,11:15,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=442
1008,"College of Science, Technology and Applied Arts of Trinidad and Tobago",39:56,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1008
400,Commissioners of Affidavits,6:52,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=400
314,Commissions of Enquiry,19:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=314
362,Commonwealth Development Corporation (Privileges and Immunities),17:05,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=362
368,Commonwealth Secretariat (Privileges and Immunities),17:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=368
254,Community Service Orders,13:06,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=254
608,Companies,81:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=608
374,Compensation for Injuries,8:05,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=374
438,Computer Misuse,11:17,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=438
724,Conservation of Wild Life,67:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=724
530,Constitution of the Republic of Trinidad and Tobago,1:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=530
536,Constitution (Prescribed Matters),1:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=536
652,Consumer Protection and Safety,82:34,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=652
534,Continental Shelf,1:52,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=534
742,Control of Importation of Live Fish,67:52,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=742
874,Conveyancing and Law of Property,56:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=874
628,Co-operative Societies,81:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=628
716,Copra Products Control,64:30,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=716
1142,Copyright,82:80,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1142
408,Coroners,6:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=408
250,Corporal Punishment (Offenders Over Eighteen),13:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=250
560,Corporation Tax,75:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=560
970,Council of Legal Education,39:50,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=970
330,Counting Unremunerated Work,19:09,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=330
750,Country Markets,68:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=750
378,Court Deposits,7:05,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=378
208,Cremation,30:51,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=208
410,Criminal Injuries Compensation,5:31,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=410
470,Criminal Law,10:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=470
472,Criminal Offences,11:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=472
296,Criminal Procedure,12:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=296
294,Criminal Procedure (Corporations),12:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=294
256,Criminal Procedure (Plea Discussion and Plea Agreement),13:07,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=256
600,Customs,78:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=600
602,Customs Brokers and Customs Clerks,78:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=602
282,Dangerous Drugs,11:25,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=282
80855,Data Protection,22:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=80855
496,Debtors,8:07,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=496
1028,Deceased Wife's Sister's Marriage,45:54,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1028
478,Deeds of Arrangement,9:71,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=478
262,Defence,14:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=262
934,Demolition of Unsafe Structures,35:55,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=934
188,Dental Profession,29:54,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=188
780,Development Loans,71:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=780
366,Diplomatic Agents and Consular Officers (Oaths and Notarial Acts),17:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=366
356,Disasters Measures,16:50,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=356
888,Disposal of Uncleared Goods,51:05,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=888
224,Division of Trinidad,26:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=224
60311,Dog Control,67:56,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=60311
746,Dogs,67:54,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=746
1032,Domestic Violence,45:56,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1032
838,Droghers,50:07,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=838
220,Dry River,26:50,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=220
632,Economic Sanctions,81:05,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=632
986,Education,39:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=986
136,Elections and Boundaries Commission (Local Government and Tobago House of Assembly),25:50,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=136
882,Electric Installations (Buildings),54:71,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=882
868,Electricity (Inspection),54:72,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=868
162,Electronic Transactions,22:05,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=162
604,Electronic Transfer of Funds Crime,79:51,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=604
80721,Emergency Ambulance Services and Emergency Medical Personnel,29:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=80721
308,Emigration (Children),18:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=308
1068,Employment Exchange,88:09,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1068
1060,Engineering Profession,90:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1060
930,Environmental Management,35:05,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=930
164,Equal Opportunity,22:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=164
392,Evidence,7:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=392
606,Exchange Control,79:50,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=606
748,Exchequer and Audit,69:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=748
598,Excise (General Provisions),78:50,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=598
754,Expenditure in Advance of Appropriation,69:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=754
360,Explosives,16:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=360
698,Exportation of Fruit,63:53,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=698
782,External Loans,71:05,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=782
300,Extradition (Commonwealth and Foreign Territories),12:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=300
650,Fair Trading,81:13,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=650
812,"Family Law (Guardianship of Minors, Domicile and Maintenance)",46:08,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=812
814,Family Proceedings,46:09,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=814
686,Farmers Advances,63:51,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=686
694,Fertilisers and Feeding Stuffs,63:55,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=694
616,Financial Institutions,79:09,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=616
540,Financial Intelligence Unit of Trinidad and Tobago,72:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=540
346,Firearms,16:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=346
926,Fire Service,35:50,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=926
1110,Fiscal Incentives,85:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1110
736,Fisheries,67:51,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=736
1100,Fishing Industry (Assistance),85:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1100
182,Food and Drugs,30:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=182
768,Foreign Investment,70:07,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=768
1064,Foreign Labour Contracts,88:11,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1064
728,Forests,66:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=728
446,Forgery,11:13,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=446
174,Freedom of Information,22:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=174
194,Friendly Societies,32:50,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=194
942,Friendly Societies Housing Corporation,33:05,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=942
434,Gambling and Betting,11:19,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=434
774,General Loan and Stock,71:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=774
776,General Local Loan,71:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=776
552,General Local Loan (Municipal Corporations),71:60,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=552
244,Geneva Conventions,12:09,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=244
276,Genocide,11:20,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=276
1138,Geographical Indications,82:78,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1138
900,Geological Survey,60:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=900
996,Girl Guides Association,40:71,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=996
792,Government Savings Bonds,71:41,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=792
794,Government Securities,71:42,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=794
546,Guarantee of Loans (Companies),71:82,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=546
548,Guarantee of Loans (Statutory Authorities),71:81,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=548
544,Guarantee of Loans (University of the West Indies),71:83,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=544
370,Habeas Corpus,8:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=370
840,Harbours,50:06,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=840
584,Health Surcharge,75:05,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=584
772,Heritage and Stabilisation Fund,70:09,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=772
800,Highways,48:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=800
280,Hijacking,11:22,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=280
1048,Hindu Marriage,45:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1048
666,Hire Purchase,82:33,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=666
618,Home Mortgage Bank,79:08,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=618
1088,Hotel Proprietors,87:55,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1088
518,House of Representatives (Powers and Privileges),2:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=518
196,Housing,33:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=196
240,Human Tissue Transplant,28:07,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=240
306,Immigration,18:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=306
320,Immigration (Advance Passenger Information),18:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=320
318,Immigration (Caribbean Community Skilled Nationals),18:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=318
562,Income Tax,75:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=562
1098,Income Tax (In Aid of Industry),85:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1098
778,Independence Development Loans,71:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=778
290,Indictable Offences (Preliminary Enquiry),12:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=290
1152,Industrial Designs,82:77,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1152
1084,Industrial Relations,88:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1084
1004,Industrial Training,39:54,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1004
820,Infants,46:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=820
978,Institute of Marine Affairs,37:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=978
1124,Insurance,84:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1124
176,Integrity in Public Life,22:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=176
348,Interception of Communications,15:08,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=348
242,International Child Abduction,12:08,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=242
508,International Criminal Court,4:26,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=508
758,International Financial Organisations,70:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=758
756,International Financial Organisations (Inter-American Development Bank),70:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=756
766,International Financial Organisations (Inter-American Investment Corporation),70:06,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=766
278,International War Crimes Tribunals,11:23,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=278
524,Interpretation,3:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=524
388,Interpreters,6:54,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=388
422,Investment Disputes Awards (Enforcement),5:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=422
404,Judges Salaries and Pensions,6:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=404
420,Judgments Extension,5:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=420
402,Judicial and Legal Service,6:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=402
382,Judicial Review,7:08,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=382
398,Jury,6:53,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=398
414,Justice Protection,5:33,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=414
288,Kidnapping,11:26,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=288
886,La Brea Jetty and Tramway,51:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=886
918,Land Acquisition,58:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=918
922,Land Surveyors,58:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=922
914,Land Tenants (Security of Tenure),59:54,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=914
448,Larceny,11:12,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=448
502,Law Reform,3:04,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=502
138,Law Reform (Pensions),23:59,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=138
504,Law Revision,3:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=504
1140,Layout Designs (Topographies) of Integrated Circuits,82:79,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1140
384,Legal Aid and Advice,7:07,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=384
1054,Legal Profession,90:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1054
440,Libel and Defamation,11:16,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=440
1120,Licensing of Dealers (Precious Metals and Stones),84:06,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1120
1082,Limeoil (Control of Manufacture),87:56,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1082
718,Limes Export Levy,64:40,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=718
372,Limitation of Certain Actions,7:09,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=372
1112,Liquor Licences,84:10,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=1112
