procedure_or_policy,availability,source_name,source_url,notes
Policy for retention of External Legal Counsel,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
HSE Policy,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
Orientation Policy,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
Payment of Allowances Policy,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
Employee Leave Policy,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
Work from Home Policy,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
Whistle Blower Policy,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
Media & Social Media Policy,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
COVID-19 Policy,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
Use of Force Policy,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
Departmental Orders,Listed publicly; full text not directly downloadable from the statement,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Document class referenced under TTPS records on interpretation/enforcement guidance.
Standing Orders,Listed publicly; full text not directly downloadable from the statement,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Document class referenced under TTPS records on interpretation/enforcement guidance.
Branch Orders,Listed publicly; full text not directly downloadable from the statement,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Document class referenced under TTPS records on interpretation/enforcement guidance.
"Police Service Regulations, 2007 (Legal Notice No. 145 of 2007)",Direct public PDF download,Judiciary of Trinidad and Tobago (Law Library),https://www.ttlawcourts.org/attachments/article/1438/LN145_07.pdf,Primary procedural/regulatory framework for the Police Service.
Judges' Rules and Administrative Directions to the Police (1965),Direct public PDF download,Judiciary of Trinidad and Tobago (Law Library),https://www.ttlawcourts.org/attachments/article/11951/Judges%20Rules%201965.pdf,Published procedural guidance for police interviews/statements.
Trinidad and Tobago Police Service official website,Public website; no comprehensive SOP manual download index found,Trinidad and Tobago Police Service,https://www.ttps.gov.tt/,Used to verify publicly visible police service resources and links.
